kingdom,phylum,class,order,family,genus,species,iucn_redlist_id,iucn_redlist_category,common_name_en,common_name_fr,common_name_sp,country_distribution
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,niugini,133022,NT,,,,"[""BRN"",""EGY"",""IDN"",""JPN"",""JOR"",""MYS"",""PNG"",""PHL"",""SAU"",""SLB"",""SDN"",""TWN"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,palawanensis,133285,NT,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Montipora,porites,133191,NT,,,,"[""BRN"",""IDN"",""JPN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Pectiniidae,Pectinia,ayleni,133694,NT,,,,"[""BRN"",""KHM"",""IDN"",""JPN"",""MYS"",""PNG"",""PHL"",""SLB"",""TWN"",""THA"",""TLS"",""VNM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Poritidae,Porites,negrosensis,133211,NT,,,,"[""BRN"",""IDN"",""JPN"",""MYS"",""PHL"",""TWN"",""THA"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Mussidae,Acanthastrea,faviaformis,133624,VU,,,,"[""BRN"",""DJI"",""EGY"",""IDN"",""JOR"",""MYS"",""PNG"",""PHL"",""SAU"",""SLB"",""SDN"",""TLS"",""YEM""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,batunai,133283,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,derawanensis,132984,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,desalwii,133396,VU,,,,"[""BRN"",""IDN"",""MYS"",""PNG"",""PHL"",""SLB"",""TLS""]"
Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,indonesia,133600,VU,,,,"[""BRN"",""IDN"",""MYS"",""MMR"",""PNG"",""PHL"",""SLB"",""THA"",""TLS""]"
