col_id,vernacular_names_eng,vernacular_names_spa,vernacular_names_por,vernacular_names_fra,vernacular_names_rus,vernacular_names_deu,vernacular_names_ita,vernacular_names_jpn,vernacular_names_zho,vernacular_names_kor
6J6ZV,,,,,,,,ダイダイクボミサンゴヤドリガニ (daidaikubomisangoyadorigani),,
33TJR,,,,,,,,ヤマトキクメイシヤドリガニ (yamatokikumeishiyadorigani),,
33TJQ,,,,,,,,ミゾケブカサンゴヤドリガニ (mizokebukasangoyadorigani),,
3VL6T,,,,,,,,ヤエヤマキクメイシヤドリガニ (yaeyamakikumeishiyadorigani),,
3VL73,,,,,,,,マルミケブカサンゴヤドリガニ (marumikebukasangoyadorigani),,
3M425,,,,,,,,ヒロサンゴヤドリガニ (hirosangoyadorigani),,
74NVN,,,,,,,,ミカヅキアシビロサンゴヤドリガニ (mikadzukiashibirosangoyadorigani),,
6LBH2,coral gall crab,,,,,,,サンゴヤドリガニ (sangoyadorigani),,
ZWH7,,,,,,,,ケブカサンゴヤドリガニ［キクメイシヤドリガニ］ (kebukasangoyadorigani[kikumeishiyadorigani]),,
78ZPP,,,,,,,,ヨコヤマメガニダマシ (yokoyamameganidamashi),,
6WZPP,,,,,,,,カンコクマメガニダマシ (kankokumameganidamashi),,
6WZPM,,,,,,,,ヤハズマメガニダマシ (yahazumameganidamashi),,
78ZPM,,,,,,,,ニホンマメガニダマシ (nihonmameganidamashi),,
78ZPK,,,,,,,,マメガニダマシ (mameganidamashi),,
7C4QW,,,,,,,,ミナミヨコナガピンノ (minamiyokonagapin'no),,
6V459,flat rock crab,,,,,,,トゲアシガニ (togeashigani),,
76S4W,blue-eyed rock crab,,,,,,,,,
773T8,"Sally Lightfooth crab, flat crab, nimble spray crab, sea urchin crab, spray crab",,,Sally-pied-léger,,Algenfressende Krabbe,,,,
6VPRC,saber crab,,,,,Säbelkrabbe,,,,
594M8,,,,,,,,オヨギピンノ (oyogipin'no),,
7D6J9,,,,,,,,ヨコナガピンノ (yokonagapin'no),,
84HFC,,,,,Краб-горошинка Рэтбана (Krab-gorosinka Retbana),,,オオヨコナガピンノ (ooyokonagapin'no),,
7G8MZ,,,,,,,,ニシノシマホウキガニ (nishinoshimahoukigani),,
6L5JX,,,,,,,,ショウジンガニ (shoujingani),,
4JHX3,,,,,,,,ミゾイボショウジンガニ (mizoiboshoujingani),,
4JHX5,scaly rock crab,,,,,,,イボショウジンガニ (iboshoujingani),,
4JHW7,,,,,,,,ツブイボショウジンガニ (tsubuiboshoujingani),,
4JHVW,"flattened crab, tidal spray crab",,,,,Flachkrabbe,,,,
3BSW4,Antillean talon crab,,,,,,,,,
3BSW3,American talon crab,,,,,,,,,
6G5KJ,,,,,,,,ヒメオカガニ (himeokagani),,
6FTKG,,,,,,,,ヤエヤマヒメオカガニ (yaeyamahimeokagani),,
3FGD9,Christmas Island red crab,,,,,Weihnachtsinsel-Krabbe,,,,
3FGD8,,,,,,,,ムラサキオカガニ (murasakiokagani),,
3FGD4,"black land crab, mountain crab, purple land crab, zombie crab",,,,,"Antillen-Landkrabbe, Halloween-Krabbe, Halloweenkrabbe",,,,
68ZB6,"blue land crab, great land crab",,,,,"Blaue Landkrabbe, Westatlantische Landkrabbe",,,,
68ZB8,brown land crab,,,,,Riesen-Landkrabbe,,ミナミオカガニ／ギダーサオカガニ／オオオカガニ (minamiokagani/gidasaokagani/oookagani),,
3VL7G,,,,,,,,カスリベンケイガニ (kasuribenkeigani),,
84H2K,,,,,,,,ベンケイガニ (benkeigani),,
84H2J,,,,,,,,クロベンケイガニ (kurobenkeigani),,
GRX4,fatfinger marsh crab,,,,,,,,,
GRXB,humic marsh crab,,,,,,,,,
GRX5,squareback marsh crab,,,,,,,,,
4WYXP,mangrove marsh crab,,,,,,,,,
4WYZT,"heavy marsh crab, purple marsh crab",,,,,,,,,
4DBXZ,,,,,,,,クシテガニ／オオユビアカベンケイガ二 (kushitegani/ooyubiakabenkeiga er),,
4DBZR,,,,,,,,ユビアカベンケイガニ (yubiakabenkeigani),,
4DBY7,,,,,,,,フタバカクガニ (futabakakugani),,
4DBZP,,,,,,,,フタバカクガニモドキ (futabakakuganimodoki),,
4DBYY,,,,,,,,ツメナガベンケイガニ (tsumenagabenkeigani),,
4DBYH,,,,,,,,ヨコスジベンケイガニ (yokosujibenkeigani),,
4DBZH,,,,,,,,カクベンケイガニ (kakubenkeigani),,
45NCS,,,,,,,,クチキヒメベンケイガニ (kuchikihimebenkeigani),,
45ND4,,,,,,,,ケブカベンケイガニ (kebukabenkeigani),,
45NCX,,,,,,,,ヒメベンケイガニ (himebenkeigani),,
6XNLG,,,,,,,,ミゾテアシハラガニ (mizoteashiharagani),,
6XNLC,,,,,,,,ギザテアシハラガニ (gizateashiharagani),,
46S8X,,,,,,,,ヒメアシハラガニモドキ (himeashiharaganimodoki),,
46S8W,,,,,,,,オオアシハラガニモドキ (ooashiharaganimodoki),,
46S92,,,,,,,,ヒナアシハラモドキ (hinaashiharamodoki),,
46S8Q,East African red mangrove crab,,,,,"Ostafrikanische Spinnenkrabbe, Rote Mangrovenkrabbe",,,,
46S98,,,,,,,,アシハラガニモドキ (ashiharaganimodoki),,
42D4Y,"apple crab, red apple crab",,,,,"Chamäleonkrabbe, Rote Chamäleonkrabbe",,ハマベンケイガニ (hamabenkeigani),,
42D52,marble crab,,,,,Marmorkrabbe,,,,
7CD8K,,,,,,,,シロテアシハラガニモドキ (shiroteashiharaganimodoki),,
69T63,,,,,,,,アカテガニ (akategani),,
5Y55S,,,,,,,,リュウキュウアカテガニ (ryuukyuuakategani),,
5YZK2,,,,,,,,フジテガニ (fujitegani),,
5YZJF,,,,,,,,ウモレベンケイガニ (umorebenkeigani),,
5YZJG,,,,,,,,ウモレベンケイガニ (umorebenkeigani),,
6G7QF,,,,,,,,オオベンケイガニ (oobenkeigani),,
6G82F,,,,,,,,シンガポールオオベンケイガニ (shingaporuoobenkeigani),,
3FS9G,"orange vampire crab, tangerine-head crab",,,,,"Orange Vampirkrabbe, Orangenköpfchen",,,,
3FS8W,bicolor vampire crab,,,,,"Krakatau-Vampirkrabbe, Zweifarbige Vampirkrabbe",,,,
3FS9Q,mandarin crab,,,,,Mandarinkrabbe,,,,
78GDP,red Thai crab,,,,,"Rotbraune Mangrovenkrabbe, Rote Thai-Krabbe",,,,
4WZ33,,,,,,,,アシナガベンケイガニ (ashinagabenkeigani),,
3J4HJ,,,,,,,,,汀角攀樹蟹 (ting jiao pan shu xie),
G66B,"mangrove crab, mangrove tree crab",,,,,"Mangrovekrabbe, Mangroven-Baumkrabbe",,,,
6KQJJ,"mangrove crab, mangrove root crab, spotted mangrove crab",,,,,Mangroven-Wurzelkrabbe,,,,
6RFDV,,,,,,,,ヒルギハシリイワガニ／クイラハシリイワガニ (hirugihashiriiwagani/kuirahashiriiwagani),,
6RFDQ,,,,,,,,ハシリイワガニモドキ (hashiriiwaganimodoki),,
6RFDT,alamihi,,,,,,,ハシリイワガニ (hashiriiwagani),,
3ZW5L,Blue-cheeked Bee-eater,Abejaruco persa,abelharuco-persa,Guêpier de Perse,,,,,,
3FPWZ,,,,,,,,カクレイワガニ (kakureiwagani),,
3FPWX,,,,,,,,オオカクレイワガニ (ookakureiwagani),,
3FPX6,,,,,,,,アカカクレイワガニ (akakakureiwagani),,
3FPX2,variegate shore crab,,,,,,,,,
4BSBZ,striped shore crab,,,,,Gestreifte Felsenkrabbe,,イワガニ (iwagani),,
4BSC2,,,,,,,,ヨコスジイワガニ (yokosujiiwagani),,
4BSCC,,,,,,,,ヒメイワガニ (himeiwagani),,
4BSCG,pleated rock crab,,,,,,,コイワガニ (koiwagani),,
4BSC3,dark shore crab,,,,,Dunkle Felsenkrabbe,,,,
